model,seed,heldout_scale,epoch,train_loss,val_accuracy,lr
TemporalResNet18Small,84,2.0,22,0.03863671343381558,0.9761904761904762,0.00017810719718785867
TemporalResNet18Small,84,2.0,23,0.036177460142318846,0.9814814814814815,0.00016879998503464564
TemporalResNet18Small,84,2.0,24,0.03432985898389768,0.9761904761904762,0.000159418577929397
TemporalResNet18Small,84,3.0,1,0.798985448830268,0.25925925925925924,0.0002997040092642407
TemporalResNet18Small,84,3.0,2,0.18346672592794194,0.8624338624338624,0.0002988172051971717
TemporalResNet18Small,84,3.0,3,0.045140425291131527,0.9365079365079365,0.0002973430876093033
TemporalResNet18Small,84,3.0,4,0.028858287889948663,0.9867724867724867,0.00029528747416929463
TemporalResNet18Small,84,3.0,5,0.014588570725583635,1.0,0.00029265847744427303
TemporalResNet18Small,84,3.0,6,0.002590285909451161,1.0,0.0002894664728832377
TemporalResNet18Small,84,3.0,7,0.006362756714224815,1.0,0.000285724057869903
TemporalResNet18Small,84,3.0,8,0.003653857229544562,1.0,0.00028144600200657956
TemporalResNet18Small,84,3.0,9,0.00035002909434671676,1.0,0.0002766491888253023
TemporalResNet18Small,84,3.0,10,0.0002245483303661732,1.0,0.00027135254915624217
TemporalResNet18Small,84,3.0,11,0.0001507348450318472,1.0,0.0002655769864163684
TemporalResNet18Small,84,3.0,12,0.0001505959017402561,1.0,0.0002593452941132117
TemporalResNet18Small,84,3.0,13,0.00011624138685018646,1.0,0.0002526820658893033
TemporalResNet18Small,84,3.0,14,0.00010225281595707843,1.0,0.0002456135984623034
TemporalResNet18Small,84,3.0,15,0.00010301596782536602,1.0,0.00023816778784387096
TemporalResNet18Small,84,4.0,1,0.820297030841603,0.2804232804232804,0.0002997040092642407
TemporalResNet18Small,84,4.0,2,0.2835366576910019,0.9417989417989417,0.0002988172051971717
TemporalResNet18Small,84,4.0,3,0.17942390853867812,0.9708994708994709,0.0002973430876093033
TemporalResNet18Small,84,4.0,4,0.12516707494197524,0.9656084656084656,0.00029528747416929463
TemporalResNet18Small,84,4.0,5,0.09314736548592062,0.9761904761904762,0.00029265847744427303
TemporalResNet18Small,84,4.0,6,0.05466209482127691,0.9814814814814815,0.0002894664728832377
TemporalResNet18Small,84,4.0,7,0.07360538730726522,0.9523809523809523,0.000285724057869903
TemporalResNet18Small,84,4.0,8,0.07103223822024815,0.9947089947089947,0.00028144600200657956
TemporalResNet18Small,84,4.0,9,0.06096889089573832,0.9947089947089947,0.0002766491888253023
TemporalResNet18Small,84,4.0,10,0.057677810628186256,0.9867724867724867,0.00027135254915624217
TemporalResNet18Small,84,4.0,11,0.05824217964511584,0.9656084656084656,0.0002655769864163684
TemporalResNet18Small,84,4.0,12,0.0422730865299373,0.9788359788359788,0.0002593452941132117
TemporalResNet18Small,84,4.0,13,0.04546458230299108,0.9735449735449735,0.0002526820658893033
TemporalResNet18Small,84,4.0,14,0.041095376072917134,0.9814814814814815,0.0002456135984623034
TemporalResNet18Small,84,4.0,15,0.033531787414925504,0.9735449735449735,0.00023816778784387096
TemporalResNet18Small,84,4.0,16,0.03291518345940858,0.9814814814814815,0.00023037401924684944
TemporalResNet18Small,84,4.0,17,0.04436962605070542,0.9788359788359788,0.00022226305111525726
TemporalResNet18Small,84,4.0,18,0.03645752648555893,0.9814814814814815,0.00021386689373476087
TemporalResNet18Small,84,6.0,1,0.8461479053777807,0.20899470899470898,0.0002997040092642407
TemporalResNet18Small,84,6.0,2,0.2898784976671724,0.917989417989418,0.0002988172051971717
TemporalResNet18Small,84,6.0,3,0.17682013496318283,0.9259259259259259,0.0002973430876093033
TemporalResNet18Small,84,6.0,4,0.15301639411379309,0.91005291005291,0.00029528747416929463
TemporalResNet18Small,84,6.0,5,0.1113810577594182,0.9444444444444444,0.00029265847744427303
TemporalResNet18Small,84,6.0,6,0.10329438819933463,0.9523809523809523,0.0002894664728832377
